id;cours;semestre;timestre;horairecours;horaireexam;activite
1;Horizontal copy;hacking Norway;turn-key Manager synthesize;Chips Illinois Shoes;Automotive Outdoors web-readiness;Handmade Hat
2;Advanced;Fantastic;Quality implement bluetooth;orange Incredible Station;Quality Functionality;Republic
3;Intranet;fuchsia;Loan Investor empower;Computers green Causeway;Bedfordshire;connect
4;Metrics SMTP optical;parsing Director;Account Andorra Parks;Executive Re-contextualized Mississippi;ivory;redundant Carolina withdrawal
5;Licensed forecast;Open-source parsing US;payment Algeria area;RAM;Village orchestrate edge;Buckinghamshire
6;Afghanistan Automotive;Directives Qatari models;Dynamic;Fish;payment;index Concrete
7;initiatives;payment Practical;invoice deposit;Architect 24/7 Shirt;programming Utah Universal;hacking
8;Auto;Kids Associate;Engineer teal;Legacy Arkansas;Communications Principal Granite;optical
9;capability;salmon;ADP transmit Plastic;Shoes;Orchestrator interactive pixel;Market Pizza
10;Shilling Developer;Plains;Granite;port green orange;system;Rest Grass-roots Creek
